-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,,
79,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,阿尔塔,哈默菲斯特,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,特隆姆瑟,特隆姆瑟,-1,-1,-1,-1,-1,-1,-1,摩尔曼斯克,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,博德,-1,-1,-1,-1,-1,-1,罗瓦涅米,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ísafj?reur,阿克雷里,胡萨维克,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,尼德罗斯,尼德罗斯,-1,-1,-1,-1,-1,-1,卡里克斯,哈帕兰达,科米,科米,-1,-1,-1,Kandalaksha,Apatity,-1,-1,-1,-1,-1,Shoyna,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Ostrov?Bolshevik,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Upernavik,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,雷克雅未克,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,奥勒松,奥勒松,-1,-1,-1,厄斯特松德,-1,-1,卢雷亚,卢雷亚,-1,-1,奥卢,-1,-1,-1,-1,-1,-1,-1,-1,Koyda,-1,Chizha,-1,Indiga,Afonikha,Nar'yan-Mar,-1,-1,-1,Amderma,Kara,Kara,-1,-1,-1,-1,-1,Dikson,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
73,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Qasigiannguit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,卑尔根,-1,-1,利勒哈默尔,利勒哈默尔,-1,-1,哈马什兰德,于默奥,-1,-1,-1,瓦萨,于韦斯屈莱,-1,-1,-1,-1,Kem,-1,Letniy?Navolok,-1,新霍尔莫戈雷,Mezen',Mezen',Snopa,Nizhnyaya?Pesha,-1,Nar'yan-Mar,Chornaya,Varandey,Karatayka,Karatayka,-1,-1,Vorkuta,Vorkuta,-1,-1,-1,Noril'sk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
72,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Nuuk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,卑尔根,-1,德拉门,奥斯陆,-1,卡尔斯塔德,穆拉,松兹瓦尔,-1,-1,-1,瓦萨,坦佩雷,-1,库奥皮奥,-1,-1,Sortavala,-1,奥涅加,奥涅加,北德文斯克,新霍尔莫戈雷,-1,-1,-1,-1,诺维博尔,-1,-1,乌斯季乌萨,-1,Inta,-1,-1,Obdorsk,Obdorsk,-1,Novyy?Urengoy,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Kamenskoye,Slautnoye,-1,-1,-1,-1,-1,-1,-1,
71,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Paamiut,Qaqortoq,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,瑟索,-1,-1,-1,-1,-1,-1,-1,-1,斯塔万格,克里斯蒂安桑,克里斯蒂安桑,-1,腓特烈斯塔,-1,厄勒布鲁,韦斯特罗斯,斯德哥尔摩,-1,-1,Abo,赫尔辛基,赫尔辛基,Kouvola,维堡,普里奥焦尔斯克,-1,彼得罗扎沃茨克,-1,-1,-1,新德文斯克,-1,-1,-1,-1,乌斯季齐利马,Izhma,Kozhva,Pechora,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Yakutsk,-1,-1,-1,-1,-1,-1,-1,-1,-1,Gizhiga,-1,-1,Tilichiki,-1,-1,-1,-1,-1,-1,
70,-1,-1,-1,安克雷奇,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,波特里,因弗内斯,阿伯丁,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,哥德堡,-1,林雪平,-1,-1,-1,-1,-1,-1,-1,-1,圣彼得堡,-1,Lodeynoye?Pole,-1,普多日,卡尔戈波尔,Shalakusha,别列兹尼基,-1,-1,-1,-1,乌赫塔,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Noyabr'sk,-1,-1,-1,Kellog,-1,-1,-1,-1,Kuyumba,-1,Vanavara,-1,-1,-1,-1,-1,Vitim,Peleduy,Nyuya,Olyokminsk,-1,-1,-1,Neryungri,Neryungri,-1,-1,-1,-1,-1,Magadan,Ola,-1,-1,-1,Il'pyrskoye,-1,-1,-1,-1,-1,-1,-1,
