建筑ID,KEY,文本,建筑成本,启用科技,过时科技,国策要求,国教,宗教,帮助,策略
0,TXT_KEY_BUILDING_PALACE,宫殿,160,,,,,,,"拥有<color=204,204,216,255>宫殿</color>的城市是文明的首都，其他城市维护费的高低由距离首都的远近决定。<color=204,204,216,255>宫殿</color>能产生文化和少量商业收入。"
1,TXT_KEY_BUILDING_BARRACKS,兵营,50,,,,,,,"<color=204,204,216,255>兵营</color>为所在城市组建的单位提供经验值。可在所有需要组建军事单位的城市建造。"
2,TXT_KEY_BUILDING_ASSYRIA_EKAL,马沙尔提军营,50,,,,,,,TXT_KEY_BUILDING_ASSYRIA_EKAL_STRATEGY
3,TXT_KEY_BUILDING_ZULU_IKHANDA,特训兵营,60,,,,,,,"<color=204,204,216,255>特训兵营</color>是祖鲁的特色建筑，替代<color=204,204,216,255>兵营</color>，可使所在城市新组建的单位获得额外经验值，并减少城市维护费。"
4,TXT_KEY_BUILDING_ROME_CASTRA,罗马兵营,50,,,,,,,"<color=204,204,216,255>Castrum</color>是罗马帝国对<color=204,204,216,255>军营</color>和<color=255,255,0,255>近战部队</color>的罗马替代品。"
5,TXT_KEY_BUILDING_GRANARY,粮仓,60,制陶术( Pottery ),,,,,,"<color=204,204,216,255>粮仓</color>储存食物，加速城市成长。在拥有<color=102,229,255,255>玉米</color>、<color=102,229,255,255>小麦</color>和<color=102,229,255,255>稻米</color>资源的情况下可提升城市健康度。"
6,TXT_KEY_BUILDING_INCAN_TERRACE,梯田,60,制陶术( Pottery ),,,,,,"<color=204,204,216,255>梯田</color>是印加的特色建筑，替代<color=204,204,216,255>粮仓</color>，可提供少量文化点数，并能储存食物加速城市人口增长。如果拥有<color=102,229,255,255>玉米</color>、<color=102,229,255,255>小麦</color>和<color=102,229,255,255>稻米</color>还可提供额外健康点数。"
7,TXT_KEY_BUILDING_WARI_COLCAS,瓦里祭坛,60,制陶术( Pottery ),,,,,,TXT_KEY_BUILDING_WARI_COLCAS_STRATEGY
8,TXT_KEY_BUILDING_INUIT_IGLOO,因纽特冰屋,60,制陶术( Pottery ),,,,,﯆冰原和冻土地块+1 食物和产能,TXT_KEY_BUILDING_INUIT_IGLOO_STRATEGY
9,TXT_KEY_BUILDING_SMOKEHOUSE,熏肉坊,60,畜牧( Pastoralism ),,,,,,"<color=204,204,216,255>熏肉房</color>通过访问<color=102,229,255,255>奶牛</color>、<color=102,229,255,255>鹿</color>、<color=102,229,255,255>猪</color>和<color=102,229,255,255>羊</color>来增加城市的健康。"
