单位ID,KEY,文本,单位成本,力量,移动,启用科技,帮助,策略
0,TXT_KEY_UNIT_LION,狮子,-1,2,1,,,"<color=255,255,0,255>狮子</color>是公元前3000年至850年在非洲繁殖的野蛮单位。"
1,TXT_KEY_UNIT_TIGER,老虎,-1,2,1,,,TXT_KEY_UNIT_TIGER_STRATEGY
2,TXT_KEY_UNIT_BEAR,熊,-1,3,1,,,"<color=255,255,0,255>熊</color>是公元前3000年至公元前850年在西伯利亚刷出的蛮族单位。"
3,TXT_KEY_UNIT_POLAR_BEAR,北极熊,-1,3,1,,,TXT_KEY_UNIT_POLAR_BEAR_STRATEGY
4,TXT_KEY_UNIT_PANTHER,豹子,-1,2,2,,,"<color=255,255,0,255>黑豹</color>是公元前3000年至850年在非洲繁殖的野蛮单位。"
5,TXT_KEY_UNIT_JAGUAR,美洲豹,-1,2,2,,,TXT_KEY_UNIT_JAGUAR_STRATEGY
6,TXT_KEY_UNIT_WOLF,狼,-1,1,2,,,"<color=255,255,0,255>狼</color>是公元前3000年至850年在西伯利亚繁殖的野蛮单位。"
7,TXT_KEY_UNIT_HYENA,鬣狗,-1,1,2,,,TXT_KEY_UNIT_HYENA_STRATEGY
8,TXT_KEY_UNIT_RABBIT,野兔,-1,1,3,,,野兔，从公元1860年开始在澳大利亚繁殖。
9,TXT_KEY_UNIT_SETTLER,移民,0,0,3,,,"组建<color=255,255,0,255>移民</color>建立新城市，扩张你的文明。"
10,TXT_KEY_UNIT_HARAPPAN_CITY_BUILDER,哈拉帕移民,0,0,3,,﯆新城市从人口增加开始,"<color=255,255,0,255>哈拉帕移民</color>，替代<color=255,255,0,255>定居者</color>的哈拉帕人，可以找到以额外人口开始的新城市。"
11,TXT_KEY_UNIT_AMERICAN_PIONEER,美国大篷车,0,10,3,,北美的新城市从一名后卫和一名工人开始,"<color=255,255,0,255>拓荒者</color>，<color=255,255,0,255>定居者</color>的美国替代者，当它在北美建立一座城市时，可以保护自己并在其中产生一名防御者和一名工人。"
12,TXT_KEY_UNIT_KHAZARS_KHAGAN,卡扎尔可汗,0,0,3,,一个伟大的将军是天生的。城市始于军械库。,TXT_KEY_UNIT_KHAZARS_KHAGAN_STRATEGY
13,TXT_KEY_UNIT_INUIT_DOG_SLED,因纽特狗雪橇,0,0,3,,﯆可以在沿岸冰块上定居,TXT_KEY_UNIT_INUIT_DOG_SLED_STRATEGY
14,TXT_KEY_UNIT_WORKER,工人,60,0,3,,,"使用<color=255,255,0,255>工人</color>在城市周围改造地块，并修建道路方便贸易的开展。"
15,TXT_KEY_UNIT_TEOTIHUACAN_ARTISAN,工匠,60,0,3,,﯆产生2点文化 ﬕ 每个回合,"<color=255,255,0,255>工匠</color>是特奥蒂瓦卡诺文明<color=255,255,0,255>工人</color>的替代，可以驻扎在一个城市，为其提供每回合两个文化点。"
16,TXT_KEY_UNIT_INDIAN_PUNJABI_WORKER,旁遮普工人,60,0,4,,,TXT_KEY_UNIT_INDIAN_PUNJABI_WORKER_STRATEGY
17,TXT_KEY_UNIT_YEMEN_ARCHITECT,也门建筑师,60,0,3,,,TXT_KEY_UNIT_YEMEN_ARCHITECT_STRATEGY
18,TXT_KEY_UNIT_NORTE_CHICO_AYLLU,艾柳,60,0,3,,﯆当你修建完成一处地域设施时首都+10ﬕ,TXT_KEY_UNIT_NORTE_CHICO_AYLLU_STRATEGY
19,TXT_KEY_UNIT_LABOURER,劳动者,60,0,3,工会( Labour_unions ),,"<color=255,255,0,255>工人</color>得到改进<color=255,255,0,255>工人</color>。他们可以建造<color=102,229,255,255>道路<color=102,229,255,255>，<color=102,229,255,255>铁路<color=102,229,255,255>，<color=102,229,255,255>农场<color=102,229,255,255>，<color=102,229,255,255>矿山<color=102,229,255,255>，<color=102,229,255,255>车间<color=102,229,255,255>，<color=102,229,255,255>伐木场<color=102,229,255,255>，<color=102,229,255,255>，<color=102,229,255,255>风车<color=102,229,255,255>，<color=102,229,255,255>水厂<color=102,229,255,255>，<color=102,229,255,255>种植园<color=102,229,255,255>，<color=102,229,255,255>采石场<color=102,229,255,255>，<color=102,229,255,255>牧场<color=102,229,255,255>，<color=102,229,255,255>营地<color=102,229,255,255>，<color=102,229,255,255>水井<color=102,229,255,255>，<color=102,229,255,255>酒厂<color=102,229,255,255>，<color=102,229,255,255>村舍<color=102,229,255,255>，<color=102,229,255,255>Forts<color=102,229,255,255>和<color=102,229,255,255>森林保留<color=102,229,255,255>，但速度更快。"
20,TXT_KEY_UNIT_BRAZILIAN_MADEIREIRO,巴西工人,60,0,3,工会( Labour_unions ),﯆移除丛林、雨林和森林时创造产量和黄金,"<color=255,255,0,255>伐木工人</color>是<color=255,255,0,255>劳工</color>的巴西替代品，它以<color=102,229,255,255>Woodsman II</color>促销活动开始，在砍伐丛林、雨林和森林时提供额外的黄金和产量。"
21,TXT_KEY_UNIT_SCOUT,侦察兵,15,2,3,鞣毛制造( Tanning ),,"组建<color=255,255,0,255>侦察兵</color>以探索未知地域；探访<color=102,229,255,255>部落村庄</color>时能获得更好的收获。但是他们不能用于攻击。"
